# Gene	Control	Treatment
G0	10.19	15.94
G1	8.14	13.11
G2	9.48	10.70
G3	13.80	16.27
G4	9.91	14.10
G5	12.25	14.16
G6	11.18	10.25
G7	9.27	9.95
G8	7.34	4.81
G9	6.75	8.03
G10	9.66	10.69
G11	10.14	8.13
G12	9.84	12.56
G13	11.50	10.96
G14	9.20	5.15
G15	8.99	4.40
G16	7.16	12.47
G17	5.60	9.99
G18	10.66	11.72
G19	10.92	14.50
G20	12.09	13.40
G21	8.82	9.00
G22	8.03	9.89
G23	8.43	13.63
G24	6.26	4.98
G25	8.09	3.82
G26	13.80	8.58
G27	9.43	9.86
G28	13.31	9.36
G29	12.14	11.95
G30	9.69	9.68
G31	11.28	9.87
G32	9.84	12.90
G33	13.68	8.46
G34	13.05	17.89
G35	9.03	11.95
G36	9.07	16.01
G37	10.42	11.77
G38	9.54	10.94
G39	9.65	9.01
G40	14.12	10.38
G41	2.79	4.42
G42	9.71	12.82
G43	9.59	11.15
G44	10.66	15.57
G45	9.10	9.99
G46	13.88	17.47
G47	8.03	17.00
G48	11.55	11.78
G49	7.65	10.55
G50	8.34	7.16
G51	7.41	7.89
G52	12.22	12.91
G53	7.10	11.11
G54	10.13	14.66
G55	12.40	13.90
G56	9.71	11.57
G57	7.73	11.74
G58	12.74	15.27
G59	9.53	10.75
G60	8.44	8.03
G61	9.20	8.67
G62	9.13	6.39
G63	10.70	12.85
G64	7.69	2.80
G65	9.98	15.30
G66	8.53	9.08
G67	8.86	12.82
G68	8.17	13.13
G69	9.39	14.17
G70	10.07	11.37
G71	7.04	6.98
G72	9.48	13.46
G73	10.49	10.40
G74	10.82	15.78
G75	9.70	10.39
G76	9.21	13.64
G77	11.08	10.29
G78	10.75	11.31
G79	8.50	14.22
G80	11.64	11.47
G81	10.16	13.66
G82	8.72	10.36
G83	11.33	7.97
G84	10.66	14.87
G85	11.01	8.98
G86	10.64	10.05
G87	11.14	14.95
G88	10.43	10.14
G89	8.82	13.38
G90	8.20	11.69
G91	11.02	12.19
G92	14.79	17.00
G93	14.29	10.24
G94	5.51	10.46
G95	11.27	12.34
G96	9.89	6.18
G97	8.74	7.64
G98	9.56	14.21
G99	10.11	13.22
G100	8.60	9.30
G101	10.22	11.38
G102	12.53	11.90
G103	13.78	12.84
G104	12.12	11.80
G105	13.30	15.71
G106	10.80	15.03
G107	8.73	7.60
G108	5.95	11.61
G109	8.61	8.83
G110	9.94	17.90
G111	6.54	9.29
G112	9.21	12.80
G113	6.40	7.21
G114	11.68	18.36
G115	13.19	12.63
G116	10.11	11.78
G117	7.25	4.93
G118	11.51	14.25
G119	9.71	15.36
G120	8.00	11.58
G121	10.02	11.84
G122	10.98	13.51
G123	10.53	13.33
G124	13.88	14.94
G125	12.02	15.85
G126	9.30	13.69
G127	8.28	13.77
G128	8.38	8.91
G129	10.65	15.14
G130	11.81	16.50
G131	9.59	8.72
G132	11.10	14.01
G133	8.09	13.02
G134	10.40	9.52
G135	10.88	8.91
G136	8.25	11.45
G137	6.88	9.00
G138	7.30	11.51
G139	8.55	11.09
G140	6.99	7.96
G141	11.89	15.27
G142	6.32	11.10
G143	11.78	12.66
G144	12.83	11.66
G145	9.83	15.17
G146	12.62	18.46
G147	7.81	4.47
G148	10.78	8.49
G149	9.74	7.89
G150	12.12	16.53
G151	11.11	13.16
G152	10.09	11.20
G153	10.77	13.51
G154	10.92	11.63
G155	13.80	16.64
G156	12.79	18.78
G157	8.24	5.18
G158	12.51	13.35
G159	10.16	11.39
G160	10.26	8.69
G161	9.79	10.40
G162	9.97	4.96
G163	11.64	14.64
G164	6.55	6.34
G165	10.06	13.95
G166	10.00	16.15
G167	10.04	9.04
G168	8.65	12.88
G169	8.77	13.30
G170	12.04	15.81
G171	12.03	13.51
G172	9.98	10.21
G173	8.78	6.08
G174	8.89	7.68
G175	7.14	9.58
G176	10.91	11.88
G177	12.74	17.56
G178	12.09	12.28
G179	7.02	10.69
G180	10.62	14.79
G181	10.83	16.61
G182	9.42	13.43
G183	8.21	3.28
G184	9.11	15.61
G185	6.65	11.70
G186	8.64	9.44
G187	10.09	12.72
G188	8.05	10.43
G189	10.89	15.39
G190	8.49	15.15
G191	13.81	23.06
G192	7.32	9.84
G193	6.28	9.42
G194	11.11	9.66
G195	6.83	9.39
G196	11.26	10.88
G197	9.48	3.90
G198	8.59	11.03
G199	10.30	17.05
