gene	S1	S2	S3	S4	S5	S6
G01	214	2652	1008	2851	1504	2102
G02	2095	2949	1404	558	1752	228
G03	1184	319	1372	2853	1703	26
G04	1050	1680	2411	1264	1725	1773
G05	1905	612	1908	79	166	438
G06	523	2046	2296	1037	1567	2105
G07	1436	112	2640	2494	387	1777
G08	842	2638	2377	84	139	1674
G09	1640	2047	1234	1211	2249	1094
G10	2594	220	769	574	2704	320
G11	983	2268	1928	13	2702	1896
G12	545	254	870	2951	95	2141
G13	909	1824	935	1800	398	1705
G14	2647	1675	2025	586	1467	243
G15	84	2058	668	1670	1066	2289
G16	1348	796	1344	1917	744	669
G17	1893	2420	2708	2489	1066	1695
G18	138	891	481	639	1618	169
G19	1347	453	487	318	1961	587
G20	2877	2238	2909	1716	753	140
