gene	S1	S2	S3	S4	S5	S6
G01	3409	2822	3469	830	1106	1082
G02	3360	2574	2921	1200	966	1154
G03	3541	2829	3223	1159	936	1079
G04	2792	2949	3280	845	1031	1015
G05	2603	3417	2517	893	873	1149
G06	2659	3250	2968	862	1126	1133
G07	2763	3129	2662	901	1154	833
G08	3477	2612	2770	1171	863	1120
G09	230	169	232	178	193	203
G10	187	235	188	184	189	164
G11	231	211	224	238	222	163
G12	236	180	206	211	218	187
G13	168	185	188	183	237	165
G14	162	188	176	237	181	167
G15	238	225	166	202	180	181
G16	189	218	236	172	182	221
G17	181	210	192	222	208	214
G18	214	236	182	175	181	231
G19	204	183	170	211	178	220
G20	231	203	165	180	212	196
